                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 194.56,                 95.827,                 173.37,                0.85441,                0.71295,                0.78711,                0.51275,                    nan,                    nan,                    nan,               0.006337,               0.006337,               0.006337
                    113,                 194.55,                 95.763,                 172.87,                0.84118,                0.72517,                0.78659,                0.51259,                    nan,                    nan,                    nan,               0.006304,               0.006304,               0.006304
                    114,                 194.58,                 95.696,                 172.94,                0.84008,                0.71707,                0.78491,                0.51188,                    nan,                    nan,                    nan,               0.006271,               0.006271,               0.006271
                    115,                 194.33,                 95.495,                 173.03,                0.83623,                0.72298,                0.78557,                0.51328,                    nan,                    nan,                    nan,               0.006238,               0.006238,               0.006238
                    116,                 194.52,                  95.45,                  172.3,                0.84334,                0.72485,                0.78559,                 0.5129,                    nan,                    nan,                    nan,               0.006205,               0.006205,               0.006205
                    117,                 194.07,                 95.085,                 172.24,                0.84815,                0.71974,                0.78594,                0.51228,                    nan,                    nan,                    nan,               0.006172,               0.006172,               0.006172
                    118,                 193.81,                  95.01,                  172.4,                 0.8193,                0.74104,                0.78762,                0.51569,                    nan,                    nan,                    nan,               0.006139,               0.006139,               0.006139
                    119,                 193.84,                 94.918,                 172.44,                0.84076,                0.72945,                0.78885,                0.51765,                    nan,                    nan,                    nan,               0.006106,               0.006106,               0.006106
                    120,                 193.86,                 94.897,                 172.55,                0.85511,                0.72345,                0.79039,                0.51731,                    nan,                    nan,                    nan,               0.006073,               0.006073,               0.006073
                    121,                 193.41,                 94.585,                 172.89,                0.81559,                0.74717,                0.78957,                0.51655,                    nan,                    nan,                    nan,                0.00604,                0.00604,                0.00604
                    122,                 193.38,                 94.588,                 172.42,                0.84047,                0.72508,                0.79116,                0.51972,                    nan,                    nan,                    nan,               0.006007,               0.006007,               0.006007
                    123,                 193.34,                 94.489,                 171.57,                0.83915,                0.72498,                0.79287,                0.51985,                    nan,                    nan,                    nan,               0.005974,               0.005974,               0.005974
                    124,                 193.07,                 93.983,                 171.78,                0.85529,                0.71113,                0.78889,                0.51721,                    nan,                    nan,                    nan,               0.005941,               0.005941,               0.005941
                    125,                 192.74,                 94.138,                 171.49,                0.82834,                0.72749,                0.79142,                0.51876,                    nan,                    nan,                    nan,               0.005908,               0.005908,               0.005908
                    126,                 192.79,                 93.993,                    172,                0.81461,                0.72828,                 0.7947,                0.51993,                    nan,                    nan,                    nan,               0.005875,               0.005875,               0.005875
                    127,                  192.5,                 93.722,                  172.1,                0.83527,                 0.7161,                0.78854,                0.51687,                    nan,                    nan,                    nan,               0.005842,               0.005842,               0.005842
                    128,                 192.29,                 93.778,                 172.16,                 0.8388,                0.71179,                0.78615,                0.51632,                    nan,                    nan,                    nan,               0.005809,               0.005809,               0.005809
                    129,                  192.4,                 93.496,                 171.38,                0.83867,                0.70912,                0.78682,                0.51644,                    nan,                    nan,                    nan,               0.005776,               0.005776,               0.005776
                    130,                 192.38,                 93.264,                 171.57,                 0.8551,                0.70657,                0.78855,                 0.5175,                    nan,                    nan,                    nan,               0.005743,               0.005743,               0.005743
                    131,                 192.19,                 93.366,                 171.37,                0.84332,                0.71132,                0.79501,                0.52046,                    nan,                    nan,                    nan,                0.00571,                0.00571,                0.00571
                    132,                 192.07,                 93.284,                 172.06,                0.82807,                0.72132,                0.79456,                0.51972,                    nan,                    nan,                    nan,               0.005677,               0.005677,               0.005677
                    133,                 192.01,                 93.077,                 171.56,                0.84819,                0.71264,                 0.7987,                0.52087,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                    134,                 191.79,                 93.037,                 171.29,                0.86006,                0.70857,                0.80327,                0.52574,                    nan,                    nan,                    nan,               0.005611,               0.005611,               0.005611
                    135,                 191.63,                 92.588,                  171.8,                0.82695,                0.73739,                0.80377,                 0.5256,                    nan,                    nan,                    nan,               0.005578,               0.005578,               0.005578
                    136,                 191.21,                  92.32,                 171.22,                0.84429,                0.72597,                0.80278,                0.52403,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                    137,                 191.16,                 92.251,                  170.9,                0.81562,                0.74801,                0.80221,                0.52376,                    nan,                    nan,                    nan,               0.005512,               0.005512,               0.005512
                    138,                 190.75,                 92.366,                 171.22,                0.81131,                0.75559,                0.80252,                0.52338,                    nan,                    nan,                    nan,               0.005479,               0.005479,               0.005479
                    139,                 190.74,                 92.221,                 171.26,                0.81126,                0.75294,                0.80203,                0.52092,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                    140,                 190.79,                 91.844,                 171.05,                0.82099,                 0.7374,                0.80081,                0.52505,                    nan,                    nan,                    nan,               0.005413,               0.005413,               0.005413
