# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
1,942205001_cam3_frame_967.png,967,735.3204,909.3574,916.85486,1129.7783,0.58321124,-1,LUTJANUSCAMPECHANUS-170151107,0.58321124
1,942205001_cam3_frame_970.png,970,935.7307,797.8568,1156.1434,966.76575,0.5538444,-1,LUTJANUSCAMPECHANUS-170151107,0.5538444
1,942205001_cam3_frame_971.png,971,309.79443,1055.1499,538.3512,1184.4165,0.82455355,-1,LUTJANUSSYNAGRIS-170151113,0.82455355
2,942205001_cam3_frame_971.png,971,944.4042,775.4524,1184.3374,959.5543,0.65219134,-1,LUTJANUSCAMPECHANUS-170151107,0.65219134
1,942205001_cam3_frame_972.png,972,300.83917,1063.4689,527.7731,1183.4696,0.8379159,-1,LUTJANUSSYNAGRIS-170151113,0.8379159
2,942205001_cam3_frame_972.png,972,970.76184,759.484,1190.9663,932.5912,0.79064053,-1,LUTJANUSCAMPECHANUS-170151107,0.79064053
3,942205001_cam3_frame_972.png,972,737.4319,817.5459,876.5927,1032.7026,0.6965035,-1,LUTJANUSCAMPECHANUS-170151107,0.6965035
1,942205001_cam3_frame_973.png,973,738.35297,817.9409,850.3861,1000.66187,0.63884556,-1,LUTJANUSCAMPECHANUS-170151107,0.63884556
1,942205001_cam3_frame_974.png,974,315.1399,1032.2236,510.42197,1184.3546,0.6451275,-1,LUTJANUSCAMPECHANUS-170151107,0.6451275
2,942205001_cam3_frame_974.png,974,727.5387,816.0943,853.6858,985.3339,0.62871325,-1,LUTJANUSCAMPECHANUS-170151107,0.62871325
1,942205001_cam3_frame_975.png,975,723.7085,804.2599,839.8102,969.452,0.71152174,-1,LUTJANUSCAMPECHANUS-170151107,0.71152174
